,s,S,Wa1,Wa3,Wa4,Wa58,Wa22,Wa33,Wa56,Wa36,Wa53,Wa10,Wa11,Wa13,Wa14,Wa68,Wa16,Wa55,Wa24,Wa54,Wa52,Wa59,Wa29,Wa44,Wa42,Wa23,Wa39,Wa40,Wa41,Wa43,Wa21,Wa18,Wa45,Wa46,Wa17,Wa38,Wa28,Wa26,Wa63,Wa64,Wa47,Wa25,Wa27,Wa15,Wa8,Wa57
Wa18,5,3,6,6,6,na,6,6,na,6,na,6,6,3,5,na,6,na,6,na,na,na,6,na,na,6,na,na,na,na,1,1,na,na,1,6,3,3,na,na,na,3,3,3,1,na
Wa45,6,6,6,3,6,6,na,na,6,na,6,na,na,6,6,na,6,6,6,6,6,6,6,6,6,na,6,5,6,6,3,na,1,3,na,6,6,na,6,6,6,6,5,5,4,6
Wa46,3,6,na,6,6,6,na,na,3,6,3,na,na,6,5,6,6,3,6,3,3,3,na,na,6,na,6,6,5,na,3,na,3,1,na,3,3,na,5,3,6,5,3,3,6,3
Wa17,6,3,6,6,6,na,6,6,na,6,na,6,6,6,6,na,6,na,6,na,na,na,6,na,na,6,na,na,na,na,3,6,na,na,1,3,3,1,na,na,na,1,1,1,6,na
Wa38,6,6,6,6,6,6,6,6,6,6,5,6,6,3,3,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,1,6,6,3,3,1,1,6,1,6,5,3,3,3,3,6
Wa28,6,6,6,6,6,6,6,6,4,6,6,6,6,3,6,6,6,5,6,5,6,4,6,6,na,6,6,6,5,6,1,6,6,3,1,1,1,6,3,6,3,3,3,3,3,4
Wa26,5,6,6,6,5,na,6,5,na,5,na,6,6,6,6,na,6,na,6,na,na,na,6,na,na,6,na,na,na,na,1,3,na,na,1,5,1,1,na,na,na,1,1,1,2,na
Wa63,3,3,3,3,3,6,na,na,na,6,1,na,na,6,6,2,3,3,6,6,3,na,6,na,na,na,6,na,6,na,6,na,6,3,na,3,3,na,1,6,1,1,2,1,6,na
Wa64,6,6,6,6,6,6,na,na,6,na,6,na,na,6,6,na,6,6,6,6,6,5,6,6,6,na,6,6,6,5,5,na,6,3,na,6,6,na,6,1,3,6,3,3,4,6
Wa47,5,6,1,6,6,6,na,na,6,3,6,na,na,3,3,2,2,6,6,na,3,5,6,6,3,na,6,6,6,6,3,na,1,1,na,3,3,na,1,3,1,2,1,1,5,3
Wa25,6,3,6,5,6,6,6,6,5,6,3,6,6,6,3,5,6,5,2,6,3,5,6,6,6,3,6,6,6,6,3,6,6,5,3,3,3,3,1,6,6,1,1,1,6,5
Wa27,1,3,1,3,3,6,3,3,2,3,6,6,5,3,2,3,3,3,4,2,3,2,3,6,4,6,6,6,5,6,6,6,3,3,1,3,3,1,1,6,3,1,1,1,1,1
Wa15,6,3,6,6,6,6,5,6,2,6,6,6,6,6,6,3,6,3,1,3,6,2,6,6,1,6,4,6,4,6,1,6,5,3,1,3,3,3,3,4,3,1,1,1,6,6
Wa8,3,6,5,6,6,6,6,6,5,6,6,6,5,5,5,6,6,6,6,3,6,5,6,6,6,6,4,6,4,6,1,1,6,3,3,6,3,1,6,2,3,6,3,6,1,2
Wa57,1,3,6,6,6,6,na,na,1,6,1,na,na,1,2,na,1,6,4,3,3,3,6,5,3,na,6,3,6,5,1,na,1,3,na,1,6,na,6,4,4,1,1,3,1,1
